iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,b,ka_pop,omega_Cl,omega_V,omega_ka
103,272.668,1,0.0392292,0.459896,0.432044,0.0543634,1.53651,0.251517,0.156514,0.652103
104,272.745,1,0.0396965,0.46063,0.366955,0.0689719,1.53775,0.247846,0.152551,0.635591
105,273.377,1,0.0400919,0.455928,0.392475,0.0623677,1.53139,0.269884,0.148688,0.684907
106,272.174,1,0.0392972,0.462538,0.394885,0.0601835,1.55843,0.264213,0.144924,0.69521
107,268.552,1,0.0395497,0.462221,0.445503,0.049584,1.57356,0.257523,0.143186,0.677607
108,275.604,1,0.0398139,0.468286,0.38914,0.0645774,1.59011,0.261255,0.148183,0.660449
109,277.287,1,0.0396884,0.465794,0.412937,0.0622368,1.59654,0.25464,0.144431,0.643726
110,272.786,1,0.0392739,0.46469,0.444161,0.0508304,1.61374,0.262898,0.140774,0.684703
111,273.902,1,0.0396058,0.46714,0.399527,0.0621303,1.60377,0.261935,0.13721,0.683568
112,276.584,1,0.0398188,0.463634,0.397802,0.0635164,1.62626,0.255302,0.133736,0.750365
113,271.531,1,0.0402759,0.451383,0.338591,0.0729846,1.46202,0.271133,0.130349,0.731366
114,269.775,1,0.0409328,0.446475,0.336963,0.0743058,1.45743,0.264268,0.127049,0.712847
115,277.167,1,0.0406636,0.453874,0.38549,0.0659011,1.49977,0.265592,0.135847,0.701708
116,280.932,1,0.0406976,0.45412,0.370478,0.0721477,1.46608,0.258867,0.13784,0.68394
117,283.373,1,0.0403135,0.448767,0.409957,0.0644029,1.45757,0.266969,0.134349,0.710742
118,282.731,1,0.0402302,0.45133,0.438068,0.0603573,1.47549,0.26021,0.130948,0.692746
119,273.885,1,0.0409557,0.455593,0.362057,0.0694445,1.48831,0.270329,0.137188,0.675205
120,266.929,1,0.0407021,0.455506,0.396835,0.0600984,1.49771,0.276136,0.133714,0.658108
121,267.97,1,0.0411334,0.452196,0.3917,0.0623039,1.50232,0.269144,0.130329,0.641445
122,267.874,1,0.0404007,0.46079,0.473869,0.044858,1.5612,0.277918,0.127067,0.625203
123,267.505,1,0.0398872,0.451888,0.466161,0.0461693,1.47587,0.270881,0.123849,0.667633
124,271.775,1,0.0395374,0.458128,0.441334,0.052416,1.50132,0.26574,0.131223,0.650728
125,275.291,1,0.0391805,0.465865,0.397452,0.0621078,1.53675,0.277235,0.137603,0.651633
126,271.207,1,0.0393383,0.468202,0.405134,0.0605645,1.52298,0.270215,0.134118,0.635133
127,268.792,1,0.0389339,0.462998,0.464525,0.0471923,1.55587,0.269944,0.130722,0.619051
128,271.199,1,0.0392456,0.463352,0.419629,0.0579534,1.5386,0.268802,0.127413,0.633514
129,274.406,1,0.0399838,0.461034,0.432033,0.0574954,1.53759,0.267766,0.124186,0.621791
130,266.872,1,0.0398864,0.467928,0.406777,0.0581705,1.56919,0.2666,0.130334,0.606047
131,278.981,1,0.0399508,0.460366,0.449859,0.0564305,1.55392,0.259849,0.128486,0.631593
132,276.063,1,0.0404165,0.455348,0.447406,0.0549731,1.52271,0.263018,0.125233,0.663522
133,272.115,1,0.0396379,0.457148,0.485258,0.0436562,1.56172,0.256358,0.136985,0.666151
134,279.847,1,0.0401552,0.452997,0.476571,0.0484445,1.56129,0.265328,0.146003,0.649283
135,279.868,1,0.0395652,0.452166,0.433231,0.0568199,1.54307,0.265822,0.143288,0.646902
136,271.512,1,0.0391658,0.463084,0.480594,0.0452416,1.5942,0.259091,0.13966,0.636632
137,271.528,1,0.039545,0.463837,0.453761,0.0509865,1.53724,0.274816,0.136123,0.620512
138,267.607,1,0.0402375,0.460329,0.423806,0.0542586,1.52594,0.275624,0.132677,0.609026
139,270.537,1,0.0405741,0.459735,0.364309,0.0682112,1.5024,0.284741,0.129317,0.609992
140,270.256,1,0.0402976,0.457898,0.359746,0.06793,1.54515,0.277532,0.134493,0.635072
141,272.282,1,0.0401482,0.461445,0.385815,0.0644829,1.53535,0.274179,0.131087,0.627883
142,269.468,1,0.0389753,0.465701,0.329064,0.0741595,1.52289,0.267236,0.129752,0.658235
143,276.087,1,0.0391507,0.467534,0.343181,0.0735838,1.61753,0.270418,0.129238,0.700706
144,273.69,1,0.0391234,0.466536,0.338375,0.0751169,1.57376,0.263571,0.128383,0.708813
145,284.703,1,0.0392055,0.460876,0.366485,0.0723972,1.57,0.284372,0.129299,0.757991
146,280.114,1,0.0387802,0.465345,0.401616,0.0644869,1.56582,0.279013,0.126965,0.738798
147,282.776,1,0.0400321,0.457472,0.461978,0.0539049,1.57241,0.290328,0.12549,0.720091
148,275.582,1,0.0395741,0.460895,0.448662,0.0515419,1.55333,0.282977,0.143962,0.701858
149,275.61,1,0.0397096,0.461538,0.426812,0.0546509,1.57943,0.275811,0.145852,0.709648
150,273.784,1,0.0393322,0.458854,0.418449,0.057055,1.55713,0.268828,0.142159,0.696701
151,275.065,1,0.0394651,0.459953,0.469264,0.0473574,1.56857,0.283716,0.138559,0.67906
152,278.853,1,0.0389072,0.457897,0.453359,0.0533442,1.5373,0.27908,0.135051,0.665937
153,267.664,1,0.0393336,0.453874,0.407901,0.0575284,1.48546,0.277188,0.131631,0.649075
154,271.528,1,0.0395999,0.453022,0.401167,0.0607943,1.51113,0.282343,0.128298,0.658614
155,270.231,1,0.0402412,0.454532,0.352119,0.0710792,1.4869,0.275194,0.12505,0.664277
156,275.761,1,0.0402085,0.454074,0.37051,0.0712368,1.47557,0.272038,0.121883,0.647457
157,271.308,1,0.0401532,0.458959,0.335249,0.0770276,1.5029,0.26515,0.118797,0.631063
158,269.91,1,0.0404358,0.455699,0.383823,0.0669923,1.54271,0.258436,0.115789,0.621932
159,262.689,1,0.0407519,0.459327,0.409343,0.05702,1.55732,0.25805,0.112857,0.630046
160,271.119,1,0.0410075,0.457527,0.396459,0.0645414,1.53932,0.253538,0.112906,0.641582
161,279.662,1,0.0398099,0.455897,0.423055,0.0630145,1.49938,0.264895,0.114771,0.637261
162,279.138,1,0.0396235,0.458324,0.37211,0.0728761,1.52116,0.280613,0.11405,0.621126
163,275.72,1,0.0402955,0.457369,0.381346,0.0674926,1.48385,0.293654,0.119357,0.64261
