rep,id,eta_ka,eta_V,eta_k,eta_k12,eta_k21,eta_km,eta_Kpm
3,21,0.0605188,0.176775,0.0940076,0.0357983,0.122047,0.112535,-0.0560718
4,21,0.119658,0.210302,-0.00875679,-0.213799,-0.0730921,0.0530545,-0.0274494
5,21,0.0254695,0.168869,0.0576088,-0.0217921,0.139397,0.127451,-0.0154547
6,21,-0.0194755,0.111299,0.151036,-0.215112,0.0115135,0.156859,0.0177762
7,21,-0.0750536,0.119767,0.119241,-0.0142361,0.0804038,0.132297,0.0502435
1,22,0.0233361,0.0881727,0.0698055,0.0767567,-0.179622,0.0835523,0.01856
2,22,0.0976162,0.0316993,0.0377,0.14061,-0.0617964,0.147949,-0.00773919
3,22,0.126869,0.0671926,0.0159504,0.00865472,-0.289017,0.204206,0.0304365
4,22,0.0907834,0.115097,0.00450345,-0.0813268,-0.152501,0.11283,0.0128033
5,22,0.118086,0.0740983,0.033632,0.120484,0.0517868,0.146307,0.0447517
6,22,0.140318,0.0951454,-0.045738,0.127434,-0.143372,0.0750396,0.0163949
7,22,0.118347,0.0591152,0.0429189,0.0862358,-0.103472,0.0995838,0.0201324
1,23,0.0465355,-0.0279231,-0.000753801,-0.104409,-0.0856982,0.0437328,0.000890066
2,23,0.164247,0.033133,0.0288104,0.246836,0.310535,-0.062619,0.0101242
3,23,0.042201,0.0380299,0.0379326,0.0350269,0.0546497,-0.0213584,-3.10831e-05
4,23,0.0657527,0.0145594,-0.000114919,0.127707,-0.0168978,0.0107221,0.00806963
5,23,0.106432,-0.00293995,0.0986997,0.226121,0.118205,0.0117477,0.0139026
6,23,0.0493224,-0.00897108,0.0244548,-0.0444558,-0.0462083,-0.0146817,-0.00864502
7,23,0.0807504,-0.00600475,0.114098,0.110776,-0.110082,-0.0153865,0.0149332
1,24,-0.00634875,-0.093989,0.039126,0.0516002,0.0292426,-0.00713783,0.0180352
2,24,0.0173978,-0.12067,-0.0404258,0.0801191,0.280134,-8.98245e-05,0.00651381
3,24,-0.132894,-0.225574,0.111295,-0.043672,-0.0434955,-0.0292962,0.0352619
4,24,-0.0108017,-0.127712,-0.0361524,-0.0799052,-0.0480008,-0.000319244,-0.0125883
5,24,-0.04524,-0.0676818,-0.000145811,-0.0939137,0.102335,-0.00470354,-0.0286398
6,24,-0.0792621,-0.12795,-0.0117618,-0.12447,-0.152474,0.0638985,0.00552913
7,24,0.0127482,-0.0874146,-0.0373732,-0.131617,-0.0506824,-0.0375348,-0.00437246
1,25,-0.0924278,0.0182029,-0.09786,-0.0317091,0.160425,-0.124174,-0.0232581
2,25,-0.110879,-0.0627955,-0.0770218,0.0117214,-0.0358513,-0.150394,0.00470023
3,25,0.00316496,-0.0921533,-0.115243,0.00124713,0.222544,0.013998,-0.0196911
4,25,-0.0507007,-0.0563638,-0.0733474,-0.000190571,0.104339,-0.0574191,-0.033651
5,25,-0.111752,-0.0751231,-0.128538,0.0264966,0.158348,-0.0820223,0.026833
6,25,-0.130794,-0.15182,-0.0313872,-0.107777,0.0610478,-0.0940263,-0.0143033
7,25,-0.111921,-0.0944507,-0.115028,-0.142973,-0.0189554,-0.0296157,0.025225
1,26,-0.150117,0.15254,-0.0625925,0.00669543,0.0184675,-0.186306,0.0160219
2,26,-0.154227,0.0922079,-0.026769,0.00813583,-0.132964,-0.207676,0.0109905
3,26,0.01685,0.178671,-0.0475656,0.0945835,0.0255759,-0.196064,0.033775
4,26,-0.12794,0.127531,-0.0361509,0.187622,0.108423,-0.279109,0.023813
5,26,-0.0706267,0.0879979,0.0119137,-0.0758956,-0.192962,-0.198667,-0.00914912
6,26,-0.0978105,0.135011,-0.0212978,-0.0750751,-0.0953334,-0.214484,0.0456169
7,26,-0.108763,0.0979702,0.117835,0.132969,-0.0842158,-0.171274,0.0103625
1,27,0.0538024,0.0867049,-0.11922,0.109395,-0.136419,-0.271836,0.0243523
2,27,-0.0573201,0.0654745,-0.0412274,0.0197479,-0.0161796,-0.313331,-0.00684647
3,27,0.134571,0.102182,-0.037347,0.171626,-0.172995,-0.309248,0.00757875
4,27,0.010434,0.0748125,-0.0670503,0.0129462,-0.157633,-0.211862,0.00243594
5,27,0.0340383,0.113828,0.00678221,-0.00608129,0.0231,-0.303645,0.0220527
6,27,0.00500247,0.0618256,-0.0249712,0.0775459,-0.0812533,-0.194909,0.0296202
7,27,-0.00668084,0.0491188,0.0495124,0.0205999,-0.239471,-0.281238,0.0202807
1,28,0.0604588,0.0317353,0.0438578,0.151511,0.0470303,-0.0970617,-0.00527519
2,28,-0.0152677,-0.0295984,0.045459,-0.121309,0.145031,-0.0803589,-0.00789077
3,28,0.03917,-0.0413962,-0.0008683,0.0809841,0.175309,-0.0243877,-0.000230722
4,28,0.0247175,-0.0476938,0.0182525,0.167286,0.0234642,-0.0108664,-0.0115381
5,28,0.0603975,0.0737486,-0.0913864,-0.150567,-0.0880689,-0.0229474,0.00630282
6,28,0.00755329,0.0363366,-0.043938,0.041642,-0.0474145,0.0139572,0.0158144
7,28,0.147205,0.0118834,-0.0314973,-0.110352,-0.044384,-0.116019,0.0133291
1,29,-0.0286814,0.0447759,-0.128607,0.139517,0.021155,0.198452,-0.0185626
2,29,-0.042616,0.0446086,-0.145839,0.0832883,-0.114726,0.127243,0.0263832
3,29,-0.0809572,-0.0199863,-0.0389549,0.126771,-0.0949872,0.142392,0.0164136
4,29,-0.00565357,0.0268145,-0.0812929,0.165237,-0.0862672,0.1253,-0.0193701
5,29,-0.0954384,-0.0178936,-0.000324132,0.233304,-0.148388,0.138652,-0.0127688
6,29,-0.0890119,0.0493071,-0.22571,0.0770353,-0.114666,0.249478,0.00815672
7,29,-0.0984045,-0.0114163,0.0145131,0.0914893,-0.0974162,0.18422,-0.0307521
1,30,-0.118302,-0.0406269,-0.0671429,0.0166771,-0.0232907,0.031672,-0.0284578
2,30,-0.0760005,-0.0294529,-0.105151,0.171887,0.203022,0.0250663,0.00563817
3,30,-0.106866,-0.0639689,-0.0783815,-0.00528962,0.0732051,0.0960933,-0.0045586
4,30,-0.0976158,-0.0212972,-0.0666877,-0.0674104,0.159609,0.0190124,-0.0534501
5,30,-0.165141,-0.0217145,-0.0543263,0.100879,0.173517,0.0670197,0.00302005
6,30,-0.07906,-0.0113416,-0.0864325,0.094953,0.0566421,0.053163,-0.0397147
7,30,-0.148876,-0.0744179,-0.0595874,0.0177037,0.103092,0.058522,-0.0156374
1,31,0.285861,-0.0176626,-0.0965181,-0.131226,-0.0831203,-0.0605985,0.0112654
2,31,0.196307,-0.0550509,-0.0199231,-0.0450942,-0.0410669,-0.101712,0.0542059
3,31,0.168883,-0.0761929,-0.0236425,0.0695015,0.091146,-0.0299962,0.0234476
4,31,0.177357,-0.0846551,-0.0987056,-0.0938352,0.0322836,-0.0552,-0.00242038
5,31,0.273254,-0.113895,-0.00576057,-0.186119,-0.130214,-0.0639449,-0.0201952
6,31,0.19865,-0.0581649,-0.0778605,-0.133484,0.0506148,-0.0481148,0.038102
7,31,0.142101,-0.13689,0.0355119,-0.0489287,-0.18253,-0.00668078,0.0111086
1,32,0.0869379,0.0850851,-0.0642114,0.0775106,-0.00236485,-0.0423884,-0.0076785
2,32,0.0394623,0.0548704,0.0884349,0.0227704,-0.148361,-0.073943,0.00655882
3,32,0.147714,0.00922478,0.0238238,-0.00906885,-0.0251388,0.00437243,0.00307943
4,32,0.12957,-0.0382931,0.153415,0.0400614,0.0153708,-0.0116651,-0.0138127
5,32,0.119693,0.121207,-0.0785252,0.0632407,0.10411,-0.0934371,-0.0116091
6,32,-0.0221628,-0.0257103,0.139266,0.191489,0.0961982,-0.0279453,-0.00314903
7,32,0.0930601,0.0492526,0.0404379,0.0411663,-0.100698,-0.0155188,0.00637242
1,33,0.115201,0.165609,-0.0221199,0.0214739,-0.0374254,-0.0863407,-0.00509987
2,33,0.133544,0.148331,0.0756739,0.120674,0.0280535,-0.0748679,-0.00267579
3,33,0.10644,0.12427,0.115807,0.0710528,-0.0825321,-0.0690734,-0.00516247
4,33,0.137563,0.192511,0.0201536,0.108059,0.278626,-0.163538,0.00177837
5,33,0.14192,0.187713,0.0973754,0.131993,0.109911,-0.0389353,0.0342849
6,33,0.153716,0.13412,0.079659,0.158834,0.0809803,-0.0505176,0.0350187
7,33,0.193649,0.21496,-0.0303346,0.119204,-0.00494533,-0.121052,0.00730231
1,34,-0.0202393,-0.0704238,0.03563,0.0735022,-0.403023,-0.189097,0.01134
2,34,-0.019701,-0.100566,0.0304811,-0.141156,0.0157429,-0.13937,-0.00356641
3,34,0.0139197,0.0336389,-0.0433466,-0.0621362,-0.191997,-0.197397,0.0164859
4,34,0.0700574,-0.0340746,-0.0619508,0.0171961,-0.0329222,-0.210158,-0.010017
5,34,0.146557,-0.0451348,-0.00722408,0.016687,-0.16871,-0.220706,0.00299081
6,34,0.127617,-0.0968616,0.0392556,0.0694255,-0.131927,-0.187312,-0.00558756
7,34,0.101377,-0.00995935,-0.103108,-0.00313826,0.0152629,-0.216954,-0.00627302
1,35,-0.034484,0.216455,-0.0701414,0.114902,0.00979983,0.0152315,0.0241168
2,35,-0.0127741,0.088004,-0.0312515,0.0436259,0.0260632,0.0287616,0.00914008
3,35,-0.140373,0.0630486,0.0651303,-0.0845414,-0.172087,0.0577939,0.0252717
4,35,-0.00824783,0.142212,0.0529962,0.0378073,0.0212356,-0.0142511,-0.0107426
5,35,-0.0380704,0.0945268,0.101722,0.124514,-0.0545784,-0.0312665,-0.0135688
6,35,-0.0658025,0.123637,0.0675508,0.118221,-0.128372,0.0614178,-0.0279756
7,35,0.0908511,0.210212,-0.0774234,-0.0902768,-0.0324879,0.0415559,-0.00209423
1,36,-0.183843,0.0629271,0.00755701,-0.100046,-0.00895764,-0.053723,-0.019125
2,36,-0.226466,0.134181,0.00664696,0.057505,0.00883204,-0.0100787,0.0125631
3,36,-0.155168,0.0999702,0.0297954,-0.0122532,0.141791,-0.0342955,-0.00803023
4,36,-0.203863,0.128619,0.00308921,-0.0852482,0.0612763,-0.0640374,-0.0231112
5,36,-0.0997351,0.143096,-0.0409355,0.0931215,-0.048364,-0.029329,-0.0114948
6,36,-0.169178,0.147919,-0.0219489,0.128737,-0.0572837,-0.123679,-0.0156535
7,36,-0.219931,0.0847837,0.0507643,0.00785434,-0.0461913,0.00180034,-0.00598892
1,37,-0.00662922,-0.152698,0.00474383,-0.0522837,0.0552484,0.136751,-0.0118494
2,37,0.131186,-0.0628124,-0.0021531,-0.0176187,0.0431684,0.0742813,-0.0303706
3,37,0.0395551,-0.0800395,-0.0943691,0.0669652,0.0647077,0.103821,-0.0146642
