rep,id,ka,V,k,k12,k21,km,Kpm
5,21,0.202107,13.9715,0.107807,0.0406035,0.0585065,0.0340245,0.0993218
6,21,0.193225,13.1899,0.118365,0.0334661,0.0514831,0.03504,0.102678
7,21,0.182779,13.3021,0.114661,0.0409115,0.0551548,0.0341898,0.106066
1,22,0.201677,12.8884,0.10913,0.0448087,0.0425261,0.0325632,0.102758
2,22,0.217228,12.1807,0.105682,0.0477632,0.0478439,0.0347292,0.100091
3,22,0.223676,12.6208,0.103409,0.0418588,0.0381194,0.0367389,0.103986
4,22,0.215748,13.2401,0.102232,0.0382567,0.0436952,0.0335307,0.102168
5,22,0.22172,12.7083,0.105253,0.0468116,0.0535988,0.0346722,0.105485
6,22,0.226705,12.9786,0.0972222,0.0471381,0.044096,0.0322872,0.102536
7,22,0.221778,12.5193,0.106235,0.0452355,0.045891,0.0330895,0.10292
1,23,0.20641,11.4757,0.101696,0.0373838,0.0467139,0.0312921,0.100958
2,23,0.232195,12.1982,0.104747,0.0531162,0.069427,0.0281349,0.101895
3,23,0.205517,12.2581,0.105707,0.0429774,0.0537525,0.0293201,0.100866
4,23,0.210415,11.9737,0.101761,0.0471509,0.050041,0.0302759,0.101686
5,23,0.219151,11.766,0.11233,0.0520272,0.0572797,0.030307,0.102281
6,23,0.206986,11.6952,0.104292,0.0396936,0.0485956,0.0295165,0.1
7,23,0.213595,11.73,0.114073,0.0463593,0.0455886,0.0294957,0.102386
1,24,0.195778,10.742,0.105833,0.0436956,0.052404,0.02974,0.102704
2,24,0.200483,10.4592,0.0977401,0.0449597,0.0673481,0.0299504,0.101528
3,24,0.172507,9.41759,0.113753,0.0397248,0.0487276,0.0290883,0.104489
4,24,0.194908,10.3858,0.0981586,0.0383112,0.0485085,0.0299435,0.0996069
5,24,0.18831,11.0284,0.101757,0.0377782,0.0563778,0.0298125,0.0980208
6,24,0.182011,10.3833,0.100582,0.0366413,0.0436964,0.0319295,0.101428
7,24,0.199553,10.8129,0.0980389,0.0363804,0.0483786,0.0288496,0.100429
1,25,0.179631,12.0174,0.0922846,0.0402028,0.0597498,0.0264553,0.0985497
2,25,0.176347,11.0824,0.0942278,0.0419873,0.0491015,0.0257707,0.101344
3,25,0.197649,10.7618,0.0906943,0.0415498,0.0635791,0.0303753,0.0989019
4,25,0.187285,11.1539,0.0945747,0.0414901,0.0564909,0.0282816,0.0975308
5,25,0.176193,10.9466,0.0894965,0.0426123,0.0596258,0.0275943,0.103612
6,25,0.172869,10.1384,0.0986275,0.0372581,0.0540975,0.027265,0.0994362
7,25,0.176163,10.7371,0.0907138,0.0359696,0.0499381,0.029079,0.103445
1,26,0.169561,13.7453,0.0955973,0.0417768,0.0518424,0.0248616,0.102498
2,26,0.168866,12.9405,0.099084,0.041837,0.0445573,0.024336,0.101983
3,26,0.200373,14.1092,0.0970447,0.0456147,0.0522122,0.0246202,0.104334
4,26,0.173363,13.4058,0.0981588,0.0500623,0.0567221,0.0226582,0.103299
5,26,0.18359,12.8861,0.102992,0.0384651,0.0419626,0.0245562,0.09995
6,26,0.178666,13.5064,0.0996276,0.0384967,0.046266,0.0241709,0.105577
7,26,0.17672,13.0153,0.1145,0.0473997,0.0467832,0.0252382,0.101919
1,27,0.207916,12.8695,0.0903343,0.0462954,0.0444036,0.0228236,0.103355
2,27,0.186049,12.5991,0.0976617,0.0423257,0.050077,0.0218959,0.10018
3,27,0.225406,13.0702,0.0980414,0.0492679,0.0428089,0.0219855,0.101636
4,27,0.199091,12.7173,0.0951721,0.0420388,0.0434716,0.0242343,0.101115
5,27,0.203847,13.2233,0.102465,0.0412465,0.0520831,0.022109,0.103118
6,27,0.198013,12.5532,0.0992623,0.0448441,0.046922,0.0246487,0.103901
7,27,0.195713,12.3947,0.106938,0.0423618,0.0400556,0.02261,0.102935
1,28,0.209304,12.1811,0.106335,0.0482868,0.0533445,0.0271824,0.100338
2,28,0.19404,11.4565,0.106505,0.0367573,0.0588371,0.0276402,0.100076
3,28,0.204895,11.3221,0.101684,0.0449986,0.0606457,0.0292314,0.100845
4,28,0.201955,11.251,0.103647,0.0490545,0.0521021,0.0296293,0.0997115
5,28,0.209291,12.7038,0.0928839,0.0356974,0.0466033,0.0292735,0.101506
6,28,0.198519,12.2373,0.0973974,0.0432626,0.048537,0.030374,0.102477
7,28,0.228271,11.9417,0.0986166,0.0371623,0.0486843,0.0266719,0.102222
1,29,0.191454,12.341,0.0894903,0.0477111,0.0519819,0.0365282,0.0990135
2,29,0.188805,12.339,0.0879614,0.0451024,0.0453774,0.0340175,0.103565
3,29,0.181703,11.5671,0.0978839,0.0471068,0.046282,0.0345367,0.102538
4,29,0.195914,12.1213,0.0938262,0.0489541,0.0466874,0.0339515,0.0989336
5,29,0.179091,11.5914,0.101739,0.0524023,0.0438753,0.0344078,0.0995889
6,29,0.180245,12.3971,0.0812091,0.0448212,0.0453801,0.0384404,0.101695
7,29,0.17856,11.6667,0.10326,0.0454738,0.0461697,0.036012,0.0978139
1,30,0.175042,11.3308,0.0951633,0.0421959,0.0497221,0.0309169,0.0980386
2,30,0.182606,11.4581,0.0916142,0.0492807,0.0623499,0.0307134,0.101439
3,30,0.177056,11.0694,0.0940998,0.0412791,0.0547592,0.0329742,0.10041
4,30,0.178701,11.552,0.0952066,0.0387929,0.059701,0.030528,0.0956188
5,30,0.167033,11.5472,0.0963908,0.0459027,0.0605372,0.0320293,0.101174
6,30,0.182048,11.6676,0.0933452,0.0456316,0.0538597,0.0315885,0.0969412
7,30,0.169772,10.9543,0.095885,0.0422393,0.0564205,0.0317583,0.0993036
1,31,0.262222,11.594,0.0924085,0.0363946,0.0468345,0.0281918,0.102011
2,31,0.23976,11.1686,0.0997647,0.0396683,0.0488461,0.0270563,0.106487
3,31,0.233274,10.9349,0.0993943,0.0444848,0.0557505,0.0290679,0.103262
4,31,0.235259,10.8428,0.0922066,0.0377812,0.0525636,0.0283445,0.100625
5,31,0.258937,10.5303,0.101188,0.0344506,0.04468,0.0280977,0.098852
6,31,0.240322,11.1338,0.0941488,0.0363125,0.0535361,0.028546,0.104786
7,31,0.227109,10.2909,0.105451,0.0395165,0.0424027,0.0297536,0.101995
1,32,0.21492,12.8486,0.0954427,0.0448425,0.0507736,0.0287099,0.100097
2,32,0.204955,12.4662,0.111182,0.0424538,0.0438765,0.0278181,0.101532
3,32,0.228388,11.91,0.104226,0.0411234,0.0496303,0.0300843,0.10118
4,32,0.224281,11.3573,0.118647,0.0431943,0.0516821,0.0296057,0.099485
5,32,0.222077,13.3213,0.0940863,0.0442072,0.056478,0.0272811,0.0997044
6,32,0.192706,11.5011,0.11698,0.0502563,0.0560329,0.0291276,0.100552
7,32,0.21624,12.3964,0.105972,0.043242,0.0460184,0.0294918,0.101513
1,33,0.221081,13.9261,0.0995457,0.0423988,0.0490243,0.0274754,0.100356
2,33,0.225174,13.6875,0.109773,0.0468205,0.0523417,0.0277924,0.100599
3,33,0.219153,13.3621,0.114268,0.0445539,0.0468621,0.0279539,0.100349
4,33,0.226081,14.3058,0.103844,0.0462335,0.0672466,0.0254342,0.101048
5,33,0.227068,14.2373,0.112181,0.0473534,0.0568066,0.0288092,0.104387
6,33,0.229762,13.4944,0.110211,0.0486417,0.0551866,0.0284775,0.104464
7,33,0.239123,14.6306,0.0987314,0.0467517,0.0506427,0.026538,0.101608
1,34,0.193077,10.9982,0.105464,0.0446631,0.0340122,0.0247923,0.102019
2,34,0.193181,10.6716,0.104922,0.036035,0.0517013,0.0260564,0.10051
3,34,0.199787,12.2044,0.097455,0.038998,0.0420031,0.0245874,0.102545
4,34,0.211323,11.4053,0.0956587,0.0422178,0.0492455,0.0242756,0.0998633
5,34,0.228123,11.2799,0.10104,0.0421963,0.0429927,0.0240209,0.101171
6,34,0.223844,10.7112,0.105847,0.0444814,0.0446035,0.0248366,0.100307
7,34,0.218046,11.6837,0.0918016,0.041368,0.0516765,0.0241112,0.100238
1,35,0.190346,14.6525,0.0948784,0.046551,0.051395,0.0304128,0.103331
2,35,0.194524,12.8862,0.0986409,0.0433485,0.0522377,0.0308271,0.101795
3,35,0.171221,12.5686,0.108621,0.038134,0.0428478,0.0317352,0.10345
4,35,0.195406,13.604,0.107311,0.043097,0.0519861,0.0295292,0.0997909
5,35,0.189665,12.9705,0.11267,0.0470006,0.0481905,0.029031,0.0995092
6,35,0.184477,13.3537,0.108885,0.0467057,0.0447624,0.0318504,0.0980859
7,35,0.215763,14.5613,0.09419,0.0379159,0.0492669,0.031224,0.100658
1,36,0.163938,12.5671,0.102544,0.0375473,0.0504399,0.0283863,0.0989579
2,36,0.157097,13.4952,0.102451,0.0439543,0.0513453,0.0296527,0.102144
3,36,0.168707,13.0413,0.10485,0.0409927,0.0586467,0.0289432,0.100062
4,36,0.160688,13.4204,0.102087,0.038107,0.0541099,0.0280951,0.0985642
5,36,0.178323,13.6161,0.0976902,0.0455481,0.0484909,0.0290873,0.0997158
6,36,0.16636,13.6819,0.0995628,0.0471995,0.0480603,0.0264684,0.099302
7,36,0.158127,12.8448,0.107072,0.0418253,0.0485964,0.030007,0.100266
1,37,0.195723,10.1295,0.102256,0.0393841,0.0537847,0.0343425,0.0996805
2,37,0.224644,11.0822,0.101553,0.0407733,0.0531389,0.0322627,0.0978513
3,37,0.204974,10.8929,0.0926073,0.0443721,0.0542959,0.03323,0.0994003
4,37,0.219198,10.6221,0.0982549,0.0405479,0.0526435,0.0332825,0.100729
5,37,0.203215,10.0505,0.10677,0.0446997,0.0519587,0.0314965,0.0999522
6,37,0.218685,11.3213,0.101741,0.042008,0.0575653,0.0316595,0.102972
7,37,0.20964,11.0654,0.0984075,0.0365047,0.0528377,0.0298277,0.104394
1,38,0.188966,12.6733,0.098641,0.039203,0.0445977,0.0320921,0.100694
2,38,0.199248,13.3139,0.112368,0.0434113,0.0508378,0.0314574,0.102368
3,38,0.199687,13.7489,0.100918,0.0403876,0.0439133,0.031385,0.094506
4,38,0.186381,12.5331,0.125216,0.0452091,0.0606199,0.031135,0.102579
5,38,0.180885,12.4431,0.111991,0.03843,0.0513377,0.0309533,0.100521
6,38,0.195816,12.3979,0.111328,0.0368611,0.0487602,0.0315041,0.10163
7,38,0.181864,13.046,0.101799,0.0398286,0.0491152,0.0303904,0.09957
1,39,0.229087,11.9692,0.118388,0.0400129,0.0511368,0.030394,0.100402
2,39,0.256622,12.1929,0.0985571,0.0423635,0.0507623,0.0304056,0.101258
3,39,0.222778,11.5724,0.114372,0.0396339,0.0484999,0.02842,0.0989972
4,39,0.247637,12.0604,0.104107,0.0365275,0.0474751,0.0315335,0.103075
5,39,0.232674,12.2618,0.107738,0.0432519,0.0466651,0.0311381,0.0998125
6,39,0.254334,12.3167,0.104937,0.0382023,0.0544284,0.0284277,0.0982073
7,39,0.249438,12.3997,0.101573,0.0464068,0.0456262,0.0303407,0.103628
1,40,0.193174,12.7565,0.100611,0.0468125,0.0482604,0.0293792,0.102705
2,40,0.191746,12.9092,0.0934558,0.0465489,0.0417702,0.0310227,0.103444
3,40,0.224881,14.2156,0.0923263,0.0457839,0.0510115,0.0276029,0.101
4,40,0.219752,13.6992,0.0959484,0.0472727,0.0386095,0.0286889,0.0984257
5,40,0.194579,13.2074,0.102933,0.0502255,0.0507957,0.0286155,0.0994113
6,40,0.20966,13.4642,0.0958245,0.0463925,0.0441818,0.0286087,0.0999505
7,40,0.197769,12.3529,0.0975976,0.0478616,0.0456213,0.0299765,0.101736
1,41,0.173553,13.1737,0.0918464,0.0393432,0.0466788,0.0297261,0.100893
2,41,0.177095,11.9828,0.108002,0.0485601,0.0482513,0.0304019,0.102016
3,41,0.179698,12.7857,0.101558,0.0403939,0.043918,0.0291964,0.104621
4,41,0.203433,14.0598,0.0855266,0.0393363,0.0485927,0.0285109,0.0956532
5,41,0.164377,11.5395,0.113325,0.0414975,0.045829,0.0287099,0.0999118
6,41,0.180458,12.6678,0.0987166,0.0447151,0.044646,0.0288465,0.101344
7,41,0.204368,13.3928,0.0920702,0.0407888,0.0539708,0.0292509,0.0995802
1,42,0.187579,13.59,0.0965142,0.0372676,0.0468188,0.028861,0.102872
2,42,0.178625,12.9985,0.107487,0.0357656,0.0438786,0.0299016,0.102818
3,42,0.195845,12.3179,0.111517,0.0423664,0.0392822,0.0296864,0.100517
4,42,0.225491,13.1969,0.103487,0.0425205,0.0487845,0.0286038,0.101959
5,42,0.198595,13.1653,0.117994,0.0388208,0.0424113,0.0292164,0.103616
6,42,0.216504,13.3325,0.102224,0.0434688,0.046368,0.0281226,0.103174
7,42,0.196018,13.82,0.10137,0.0382211,0.052495,0.030886,0.101564
1,43,0.185295,10.6665,0.103373,0.0448018,0.056477,0.0378756,0.100176
2,43,0.181265,11.251,0.0872154,0.0364075,0.0470238,0.0361162,0.102844
3,43,0.18312,10.6117,0.103391,0.0365389,0.0560956,0.0334862,0.0998458
4,43,0.199698,10.3677,0.107562,0.0421971,0.0535357,0.0348565,0.0987713
5,43,0.195665,11.0559,0.0956198,0.0325646,0.05421,0.0341511,0.102306
6,43,0.18627,10.7913,0.0958916,0.042815,0.0586202,0.0361768,0.103285
7,43,0.191439,10.8916,0.0958224,0.0408318,0.0609492,0.037417,0.101746
1,44,0.178633,11.1756,0.0909815,0.0401084,0.0466248,0.0291144,0.0994163
2,44,0.187883,11.2175,0.099964,0.0374065,0.0511518,0.0288653,0.0978114
3,44,0.172998,11.0762,0.10442,0.0475378,0.0437363,0.0276846,0.101919
4,44,0.169876,11.2968,0.0999774,0.0440801,0.0458536,0.0288764,0.100719
5,44,0.164637,11.5581,0.0932935,0.0444646,0.0475711,0.0279316,0.102583
6,44,0.181792,11.125,0.0962255,0.0402057,0.0368492,0.027758,0.10398
7,44,0.175294,10.6177,0.105395,0.0465049,0.0482372,0.0282162,0.100994
1,45,0.224125,11.243,0.0904235,0.0384785,0.0451521,0.0297162,0.103113
2,45,0.208566,10.4418,0.0998025,0.0412233,0.0537358,0.0269266,0.0990628
3,45,0.212373,10.7108,0.100498,0.0436575,0.04172,0.0282375,0.101323
4,45,0.214014,10.6127,0.104423,0.042553,0.0490697,0.0286294,0.0989711
5,45,0.219184,11.1718,0.0926217,0.0401992,0.0452383,0.0277221,0.0965536
6,45,0.210769,10.6657,0.0941246,0.0423537,0.0434477,0.0279585,0.100213
7,45,0.21943,10.9745,0.0972824,0.0433972,0.0524487,0.0282652,0.100342
1,46,0.183083,11.5127,0.0996879,0.0466073,0.0497479,0.024329,0.0964769
2,46,0.178208,11.9998,0.0912047,0.0442506,0.042406,0.0294542,0.101766
3,46,0.185997,11.0164,0.0978162,0.0417647,0.059172,0.0266361,0.102065
4,46,0.165147,10.6445,0.11224,0.0389568,0.0552452,0.0280734,0.102347
5,46,0.177786,11.8384,0.0984627,0.0413581,0.0569444,0.0292267,0.102353
6,46,0.179235,11.0322,0.0888106,0.0366508,0.056535,0.0299903,0.102731
7,46,0.185212,11.5731,0.103269,0.0383004,0.0527342,0.0273289,0.0996564
1,47,0.192036,12.7888,0.115763,0.0398273,0.052199,0.0321236,0.100265
2,47,0.210767,13.7725,0.101567,0.0407669,0.0505243,0.0320488,0.105284
3,47,0.198376,13.9244,0.100997,0.0403015,0.0446,0.0321006,0.0994632
4,47,0.204492,13.8294,0.100001,0.0388271,0.0434992,0.030821,0.101465
5,47,0.190238,13.3782,0.102783,0.0377564,0.0539429,0.030692,0.102889
6,47,0.194916,12.974,0.100165,0.0422998,0.055046,0.0321498,0.102237
7,47,0.187335,12.0743,0.123411,0.0416406,0.0429481,0.0342246,0.101627
